bill month,rate/kwh,kwh_used,GC,SLC,DC,OCA,GR,UC,TC
January 2024,7.9800,150,1197.00,120.50,340.00,0.50,200.00,40.00,1898.00
February 2024,8.0500,145,1167.25,118.00,332.00,0.48,195.00,39.00,1851.73
March 2024,8.1000,160,1296.00,127.50,358.50,0.54,215.00,43.00,2040.54
April 2024,8.1200,155,1258.60,125.00,350.00,0.52,210.00,42.00,1985.12
May 2024,8.1100,170,1378.70,130.00,370.00,0.56,220.00,44.00,2143.26
June 2024,8.1343,158,1285.22,124.79,358.54,0.52,212.25,42.39,2023.71
July 2024,8.1500,162,1320.30,128.00,360.00,0.53,215.00,43.00,2066.83
August 2024,8.1400,155,1261.70,125.00,350.00,0.52,210.00,42.00,1989.22
September 2024,8.1300,150,1219.50,120.50,340.00,0.50,200.00,40.00,1920.00
October 2024,8.1450,165,1343.93,130.00,365.00,0.55,218.00,44.00,2101.48
November 2024,8.1600,160,1305.60,127.50,358.50,0.54,215.00,43.00,2050.14
December 2024,8.1700,170,1388.90,130.00,370.00,0.56,220.00,44.00,2153.46
